config,DMOD,ZTHR,TAUMOD,NMAC_FPR,NMAC_Precision,WCV_TPR,WCV_FPR,WCV_Precision,fp_total,fp_genuine_wcv,fp_truly_safe,frac_fp_genuine_wcv,safe_alert_rate
En-route baseline (DO-365),4000.0,450.0,35.0,0.02828313455966579,0.27473002159827214,1.0,0.13872257600440052,0.660082944530845,1679,1463,216,0.8713519952352591,0.0036
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,0.009197493430361836,0.5380710659898477,0.33417105159820937,0.005733386929570313,0.9401237295625277,546,540,6,0.989010989010989,0.0001
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,0.017620106461828718,0.37812128418549346,0.6473729678787403,0.026170478346415046,0.8695147679324895,1046,1000,46,0.9560229445506692,0.0007666666666666667
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,0.005828448217775083,0.6476578411405295,0.2967093379407838,0.004210125457507352,0.9499622831279859,346,342,4,0.9884393063583815,6.666666666666667e-05
