config,DMOD,ZTHR,TAUMOD,group,n,n_correct,accuracy,n_no_prediction,n_over_alarm,n_under_alarm,frac_over_alarm,frac_under_alarm,n_hazardous_missed,r_h_bias_ft,r_h_mae_ft,r_v_bias_ft,r_v_mae_ft,lead_time_mean_s
En-route baseline (DO-365),4000.0,450.0,35.0,__all__,60000,53375,0.8895833333333333,25636,5289,1336,0.08815,0.022266666666666667,6,-1304.6969927831462,1317.684899331047,49.55402380186914,99.7547901253695,20.10906762891398
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,__all__,60000,56346,0.9391,39081,3243,411,0.05405,0.00685,6,-722.3640159807599,741.9183077078533,14.787728135927432,47.23000898116822,14.688704048950715
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,__all__,60000,58497,0.97495,50277,1364,139,0.022733333333333335,0.0023166666666666665,4,-324.24807753049924,334.40513360466866,3.8983887809772946,22.50155123542552,9.15242209194693
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,__all__,60000,59055,0.98425,53198,811,134,0.013516666666666666,0.0022333333333333333,5,-216.08189021693573,219.72007347148983,3.3543728215049904,20.79471209766242,6.687150837988827
