config,DMOD,ZTHR,TAUMOD,group,TP,FP,TN,FN,TPR,FPR,Precision,F1
En-route baseline (DO-365),4000.0,450.0,35.0,__all__,636,1679,57685,0,1.0,0.02828313455966579,0.27473002159827214,0.43104032531345304
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,__all__,636,546,58818,0,1.0,0.009197493430361836,0.5380710659898477,0.6996699669966996
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,__all__,636,1046,58318,0,1.0,0.017620106461828718,0.37812128418549346,0.548748921484038
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,__all__,636,346,59018,0,1.0,0.005828448217775083,0.6476578411405295,0.7861557478368356
